name,uid,code,parent,shortName,level,openingDate
Bisagara Village,XiL3KzzlViK,Bisagara Village,nH1QbU6shJz,Bisagara,6,01-01-00
Nyamigende Village,ZRgKCZBxqto,Nyamigende Village,nH1QbU6shJz,Nyamigende,6,01-01-00
Rugarama Village,cLWd0ZTTcvZ,Rugarama Village,nH1QbU6shJz,Rugarama,6,01-01-00
Rwamakara Village,eIKOHaYWv8D,Rwamakara Village,nH1QbU6shJz,Rwamakara,6,01-01-00
Twabagarama Village,qC14fkQ9Aj6,Twabagarama Village,nH1QbU6shJz,Twabagarama,6,01-01-00
Kabukuba Cell,eRrMG5LL6DQ,Kabukuba Cell,kz9GH2mpwxF,Kabukuba,5,01-01-00
Gikana Village,zh2BHzVN7cA,Gikana Village,eRrMG5LL6DQ,Gikana,6,01-01-00
Gikurazo Village,M1kzkU7zEQb,Gikurazo Village,eRrMG5LL6DQ,Gikurazo,6,01-01-00
Kabukuba Village,FEl85cHGGEE,Kabukuba Village,eRrMG5LL6DQ,Kabukuba,6,01-01-00
Kamatongo Village,iGlWSq3lGMW,Kamatongo Village,eRrMG5LL6DQ,Kamatongo,6,01-01-00
Majanja Village,B4Hhcac5WB6,Majanja Village,eRrMG5LL6DQ,Majanja,6,01-01-00
Mbuye Village,UMiP2B7ZKgH,Mbuye Village,eRrMG5LL6DQ,Mbuye,6,01-01-00
Rushubi Village,dowDyVuFFi1,Rushubi Village,eRrMG5LL6DQ,Rushubi,6,01-01-00
Mugorore Cell,jN98EWPuqmf,Mugorore Cell,kz9GH2mpwxF,Mugorore,5,01-01-00
Cyirabo Village,exqSc4kNbHx,Cyirabo Village,jN98EWPuqmf,Cyirabo,6,01-01-00
Gatora Village,ncAIAaLEpZY,Gatora Village,jN98EWPuqmf,Gatora,6,01-01-00
Kajevuba Village,Snig4MqTSE8,Kajevuba Village,jN98EWPuqmf,Kajevuba,6,01-01-00
Mugorore Village,YFWx8pbV033,Mugorore Village,jN98EWPuqmf,Mugorore,6,01-01-00
Murambi Village,L7n3WFn75ry,Murambi Village,jN98EWPuqmf,Murambi,6,01-01-00
Rebero Village,sxMH8bXCw3E,Rebero Village,jN98EWPuqmf,Rebero,6,01-01-00
Rwamurama Village,V4tN2uk9zyl,Rwamurama Village,jN98EWPuqmf,Rwamurama,6,01-01-00
Tabarari Village,G9gqwHUzeX7,Tabarari Village,jN98EWPuqmf,Tabarari,6,01-01-00
Musovu Cell,tVelnFX23CG,Musovu Cell,kz9GH2mpwxF,Musovu,5,01-01-00
Bitega Village,M7fqrEHDPp1,Bitega Village,tVelnFX23CG,Bitega,6,01-01-00
Cyabasonga Village,RB1gqHa2jRq,Cyabasonga Village,tVelnFX23CG,Cyabasonga,6,01-01-00
Cyingaju Village,NYTGztYUjB6,Cyingaju Village,tVelnFX23CG,Cyingaju,6,01-01-00
Kabeza Village,VR3JtjKFuer,Kabeza Village,tVelnFX23CG,Kabeza,6,01-01-00
Nyaruhuru Village,lrUYrOKiJxy,Nyaruhuru Village,tVelnFX23CG,Nyaruhuru,6,01-01-00
Rwinume Cell,fkE7DTjHG9B,Rwinume Cell,kz9GH2mpwxF,Rwinume,5,01-01-00
Gisororo Village,dDxIj8KYWrw,Gisororo Village,fkE7DTjHG9B,Gisororo,6,01-01-00
Kabeza Village,VR3JtjKFuer,Kabeza Village,fkE7DTjHG9B,Kabeza,6,01-01-00
Katarara Village,tx6B0Z4QAG6,Katarara Village,fkE7DTjHG9B,Katarara,6,01-01-00
Kinihira Village,MCeIK0fo3RI,Kinihira Village,fkE7DTjHG9B,Kinihira,6,01-01-00
Rwimpyisi Village,uDvoAvlvPvG,Rwimpyisi Village,fkE7DTjHG9B,Rwimpyisi,6,01-01-00
Uwimpunga Village,LlJ4IL60Fnt,Uwimpunga Village,fkE7DTjHG9B,Uwimpunga,6,01-01-00
Kamabuye Sector,UGzuiGjVtM6,Kamabuye Sector,kmqrhxfZRdS,Kamabuye,4,01-01-00
Biharagu Cell,i7O094aGyNI,Biharagu Cell,UGzuiGjVtM6,Biharagu,5,01-01-00
Akanigo Village,hpRMGUHIQ1c,Akanigo Village,i7O094aGyNI,Akanigo,6,01-01-00
Biharagu Village,rNPAMedgXQg,Biharagu Village,i7O094aGyNI,Biharagu,6,01-01-00
Kanyonyera Village,BkJdlNVzpdu,Kanyonyera Village,i7O094aGyNI,Kanyonyera,6,01-01-00
Munazi Village,cJhdY11rW4a,Munazi Village,i7O094aGyNI,Munazi,6,01-01-00
Muyigi Village,kKB6vQ9EEnh,Muyigi Village,i7O094aGyNI,Muyigi,6,01-01-00
Nyarurama Village,DXzvETOswxR,Nyarurama Village,i7O094aGyNI,Nyarurama,6,01-01-00
Rubugu Village,bbTzePRxySL,Rubugu Village,i7O094aGyNI,Rubugu,6,01-01-00
Burenge Cell,Z6rydN4WgC1,Burenge Cell,UGzuiGjVtM6,Burenge,5,01-01-00
Akabazeyi Village,DxXveuMEuOa,Akabazeyi Village,Z6rydN4WgC1,Akabazeyi,6,01-01-00
Kagenge Village,F3MmL0a39pq,Kagenge Village,Z6rydN4WgC1,Kagenge,6,01-01-00
Murambo Village,JV1DkHzU49u,Murambo Village,Z6rydN4WgC1,Murambo,6,01-01-00
Nyabyondo Village,klzokclhY0U,Nyabyondo Village,Z6rydN4WgC1,Nyabyondo,6,01-01-00
Nyakariba Village,ygYfOTCFK4Y,Nyakariba Village,Z6rydN4WgC1,Nyakariba,6,01-01-00
Rebero Village,sxMH8bXCw3E,Rebero Village,Z6rydN4WgC1,Rebero,6,01-01-00
Senga Village,qZdwetjSqcE,Senga Village,Z6rydN4WgC1,Senga,6,01-01-00
Kampeka Cell,NkKqhifciSm,Kampeka Cell,UGzuiGjVtM6,Kampeka,5,01-01-00
Byimana Village,FzKa1eCzNV5,Byimana Village,NkKqhifciSm,Byimana,6,01-01-00
Kampeka Village,oF9vsvAvKba,Kampeka Village,NkKqhifciSm,Kampeka,6,01-01-00
Mabuye Village,m1qs4lERx1k,Mabuye Village,NkKqhifciSm,Mabuye,6,01-01-00
Masangano Village,srzimUQJhxM,Masangano Village,NkKqhifciSm,Masangano,6,01-01-00
Mbuganzeri Village,yg9FrDIAYOr,Mbuganzeri Village,NkKqhifciSm,Mbuganzeri,6,01-01-00
Mparo Village,oZxNaBVXOxE,Mparo Village,NkKqhifciSm,Mparo,6,01-01-00
Ndama Village,E40Rd7CpCh7,Ndama Village,NkKqhifciSm,Ndama,6,01-01-00
Pamba I Village,ylOA537mu8V,Pamba I Village,NkKqhifciSm,Pamba I,6,01-01-00
Pamba II Village,LbCSUXphGHO,Pamba II Village,NkKqhifciSm,Pamba II,6,01-01-00
Nyakayaga Cell,hTlvSeZd2PH,Nyakayaga Cell,UGzuiGjVtM6,Nyakayaga,5,01-01-00
Akaje Village,McFBhaA0ZlI,Akaje Village,hTlvSeZd2PH,Akaje,6,01-01-00
Fatinkanda Village,sWH3kXAOYcx,Fatinkanda Village,hTlvSeZd2PH,Fatinkanda,6,01-01-00
Murago Village,untwragb4N8,Murago Village,hTlvSeZd2PH,Murago,6,01-01-00
Murambi Village,L7n3WFn75ry,Murambi Village,hTlvSeZd2PH,Murambi,6,01-01-00
Ntungamo I Village,UPFHT5DRYHy,Ntungamo I Village,hTlvSeZd2PH,Ntungamo I,6,01-01-00
Ntungamo II Village,N8RLsJeAL5D,Ntungamo II Village,hTlvSeZd2PH,Ntungamo II,6,01-01-00
Nyakayaga Village,Q7ikb1G8b5W,Nyakayaga Village,hTlvSeZd2PH,Nyakayaga,6,01-01-00
Tunda Cell,mmjIkpmoWku,Tunda Cell,UGzuiGjVtM6,Tunda,5,01-01-00
Cyogamuyaga Village,cMtTsNiDk2V,Cyogamuyaga Village,mmjIkpmoWku,Cyogamuyaga,6,01-01-00
Mububa I Village,r5oOX23WHZt,Mububa I Village,mmjIkpmoWku,Mububa I,6,01-01-00
Mububaya II Village,aGXyYgeSlrh,Mububaya II Village,mmjIkpmoWku,Mububaya II,6,01-01-00
Rubirizi Village,WYqwB3JXONg,Rubirizi Village,mmjIkpmoWku,Rubirizi,6,01-01-00
Rusibya Village,CnwBiAnVKfN,Rusibya Village,mmjIkpmoWku,Rusibya,6,01-01-00
Tunda Village,AyrSMJTpcmZ,Tunda Village,mmjIkpmoWku,Tunda,6,01-01-00
Twuruziramire Village,mIMBBHc2d3H,Twuruziramire Village,mmjIkpmoWku,Twuruziramire,6,01-01-00
Uwibiraro I Village,zJKsMEoOxO0,Uwibiraro I Village,mmjIkpmoWku,Uwibiraro I,6,01-01-00
Uwibiraro II Village,blCQIuU0qAU,Uwibiraro II Village,mmjIkpmoWku,Uwibiraro II,6,01-01-00
Uwumusave Village,vmX7FNfYLiR,Uwumusave Village,mmjIkpmoWku,Uwumusave,6,01-01-00
Mareba Sector,APPfu6ciZg3,Mareba Sector,kmqrhxfZRdS,Mareba,4,01-01-00
Bushenyi Cell,pBGoXMjoFwE,Bushenyi Cell,APPfu6ciZg3,Bushenyi,5,01-01-00
Bigaga Village,uhR2YmYqaku,Bigaga Village,pBGoXMjoFwE,Bigaga,6,01-01-00
Bukumba Village,QvDPLkIssJt,Bukumba Village,pBGoXMjoFwE,Bukumba,6,01-01-00
Cyantwari Village,jixW3VqUcCh,Cyantwari Village,pBGoXMjoFwE,Cyantwari,6,01-01-00
Gasagara Village,SjqeEfx5ZIk,Gasagara Village,pBGoXMjoFwE,Gasagara,6,01-01-00
Gitega Village,Nx6kCuX6jU4,Gitega Village,pBGoXMjoFwE,Gitega,6,01-01-00
Kabeza Village,VR3JtjKFuer,Kabeza Village,pBGoXMjoFwE,Kabeza,6,01-01-00
Kagese Village,zz8fLbxMEh1,Kagese Village,pBGoXMjoFwE,Kagese,6,01-01-00
Kagogo Village,nMiPxsACrle,Kagogo Village,pBGoXMjoFwE,Kagogo,6,01-01-00
Kamasonga Village,KcftB9YPFuL,Kamasonga Village,pBGoXMjoFwE,Kamasonga,6,01-01-00
Mareba Village,bl8wDsmFlLC,Mareba Village,pBGoXMjoFwE,Mareba,6,01-01-00
Muyange Village,ocDqYQM8yy4,Muyange Village,pBGoXMjoFwE,Muyange,6,01-01-00
Rukoyoyo Village,uUxeAPSZ8C1,Rukoyoyo Village,pBGoXMjoFwE,Rukoyoyo,6,01-01-00
Runyonza Village,qJEhL4mgw0O,Runyonza Village,pBGoXMjoFwE,Runyonza,6,01-01-00
Rususa Village,A41WGVTNnST,Rususa Village,pBGoXMjoFwE,Rususa,6,01-01-00
Gakomeye Cell,PNHZILLyBTA,Gakomeye Cell,APPfu6ciZg3,Gakomeye,5,01-01-00
Gatanga Village,TjWCi4ggKDf,Gatanga Village,PNHZILLyBTA,Gatanga,6,01-01-00
Gitwa Village,p7qtGu8uj42,Gitwa Village,PNHZILLyBTA,Gitwa,6,01-01-00
Kabere Village,RZRxauI1zBy,Kabere Village,PNHZILLyBTA,Kabere,6,01-01-00
Kajevuba Village,Snig4MqTSE8,Kajevuba Village,PNHZILLyBTA,Kajevuba,6,01-01-00
Kamudeberi Village,bTWt6XjQSmH,Kamudeberi Village,PNHZILLyBTA,Kamudeberi,6,01-01-00
Kamunana Village,ggYWKzryaGJ,Kamunana Village,PNHZILLyBTA,Kamunana,6,01-01-00
Kanka Village,XkUnylcDS1t,Kanka Village,PNHZILLyBTA,Kanka,6,01-01-00
Kaziranyenzi Village,J8BwjlGdtml,Kaziranyenzi Village,PNHZILLyBTA,Kaziranyenzi,6,01-01-00
Rwintare Village,ptx1E2qHcC1,Rwintare Village,PNHZILLyBTA,Rwintare,6,01-01-00
Nyamigina Cell,ibE6b0IRYf9,Nyamigina Cell,APPfu6ciZg3,Nyamigina,5,01-01-00
Gafunzo Village,lUtbHavJ4ER,Gafunzo Village,ibE6b0IRYf9,Gafunzo,6,01-01-00
Kabeza Village,VR3JtjKFuer,Kabeza Village,ibE6b0IRYf9,Kabeza,6,01-01-00
Kabingo Village,GCY0ZsmztQA,Kabingo Village,ibE6b0IRYf9,Kabingo,6,01-01-00
Kabuye Village,HBrpo3n1jO7,Kabuye Village,ibE6b0IRYf9,Kabuye,6,01-01-00
Karwana Village,B04gah7zg3v,Karwana Village,ibE6b0IRYf9,Karwana,6,01-01-00
Ngugu Village,I6Te76gzeQl,Ngugu Village,ibE6b0IRYf9,Ngugu,6,01-01-00
Nyamigisha Village,AC4VINUWD2u,Nyamigisha Village,ibE6b0IRYf9,Nyamigisha,6,01-01-00
Ruhina Village,mgabIpKQteJ,Ruhina Village,ibE6b0IRYf9,Ruhina,6,01-01-00
Rusenyi Village,ZDHK41Yp1Wz,Rusenyi Village,ibE6b0IRYf9,Rusenyi,6,01-01-00
Ruyenzi Village,PQxFNLohik9,Ruyenzi Village,ibE6b0IRYf9,Ruyenzi,6,01-01-00
Rango Cell,OZRwBKxLs9m,Rango Cell,APPfu6ciZg3,Rango,5,01-01-00
Gatare Village,yXEFrmN3StC,Gatare Village,OZRwBKxLs9m,Gatare,6,01-01-00
Gatinza Village,epKiygtxwjO,Gatinza Village,OZRwBKxLs9m,Gatinza,6,01-01-00
Gihoko Village,U3ltVEg1x8V,Gihoko Village,OZRwBKxLs9m,Gihoko,6,01-01-00
Kabuga Village,ouHP7nnmMOO,Kabuga Village,OZRwBKxLs9m,Kabuga,6,01-01-00
Kagarama Village,FWIfyQb9UXo,Kagarama Village,OZRwBKxLs9m,Kagarama,6,01-01-00
Matinza Village,c4gEy2u4Ieu,Matinza Village,OZRwBKxLs9m,Matinza,6,01-01-00
Mbuga Village,R6Mb0A8COVT,Mbuga Village,OZRwBKxLs9m,Mbuga,6,01-01-00
Rango Village,Xwm1MhwCT0h,Rango Village,OZRwBKxLs9m,Rango,6,01-01-00
Rusagara Village,ktLmW7rkl2v,Rusagara Village,OZRwBKxLs9m,Rusagara,6,01-01-00
Rwabikwano Village,PgDUleb2aEm,Rwabikwano Village,OZRwBKxLs9m,Rwabikwano,6,01-01-00
Rugarama Cell,oP9H0YE9dFz,Rugarama Cell,APPfu6ciZg3,Rugarama,5,01-01-00
Gasagara Village,SjqeEfx5ZIk,Gasagara Village,oP9H0YE9dFz,Gasagara,6,01-01-00
Gatare Village,yXEFrmN3StC,Gatare Village,oP9H0YE9dFz,Gatare,6,01-01-00
Kayonza Village,e9FgCgUB3tH,Kayonza Village,oP9H0YE9dFz,Kayonza,6,01-01-00
Keza Village,vGlD9P2DrIo,Keza Village,oP9H0YE9dFz,Keza,6,01-01-00
Kururama Village,DYlYUAJgJ3I,Kururama Village,oP9H0YE9dFz,Kururama,6,01-01-00
Muyenzi Village,o0TOHPqslDP,Muyenzi Village,oP9H0YE9dFz,Muyenzi,6,01-01-00
Ruduha Village,DU8YMltGk5q,Ruduha Village,oP9H0YE9dFz,Ruduha,6,01-01-00
Rugarama Village,cLWd0ZTTcvZ,Rugarama Village,oP9H0YE9dFz,Rugarama,6,01-01-00
Rutaka Village,UHjYcWKwW8Y,Rutaka Village,oP9H0YE9dFz,Rutaka,6,01-01-00
Mayange Sector,qBSeti7Pa1B,Mayange Sector,kmqrhxfZRdS,Mayange,4,01-01-00
Gakamba Cell,Kop0SLGBX2H,Gakamba Cell,qBSeti7Pa1B,Gakamba,5,01-01-00
Gacucu Village,PmmO4PLy0FL,Gacucu Village,Kop0SLGBX2H,Gacucu,6,01-01-00
Gakamba Village,jZ6Oht8TEYZ,Gakamba Village,Kop0SLGBX2H,Gakamba,6,01-01-00
Gisenyi Village,vMxZ5Iw6fdv,Gisenyi Village,Kop0SLGBX2H,Gisenyi,6,01-01-00
Kamugenzi Village,rV89HEA5V8X,Kamugenzi Village,Kop0SLGBX2H,Kamugenzi,6,01-01-00
Karambo Village,p36m6483AHk,Karambo Village,Kop0SLGBX2H,Karambo,6,01-01-00
Kavumu Village,iHlqYNeLWPw,Kavumu Village,Kop0SLGBX2H,Kavumu,6,01-01-00
Rukora Village,QR0wpKoP7Uf,Rukora Village,Kop0SLGBX2H,Rukora,6,01-01-00
Kagenge Cell,qZNwLmlW4D3,Kagenge Cell,qBSeti7Pa1B,Kagenge,5,01-01-00
Biryogo Village,uiXGquynlZL,Biryogo Village,qZNwLmlW4D3,Biryogo,6,01-01-00
Gakindo Village,ELOmuXpi620,Gakindo Village,qZNwLmlW4D3,Gakindo,6,01-01-00
Gitaramuka Village,VdqDNr27W6m,Gitaramuka Village,qZNwLmlW4D3,Gitaramuka,6,01-01-00
Karama Village,cOltMyVOGVg,Karama Village,qZNwLmlW4D3,Karama,6,01-01-00
Kiruhura Village,yjaOClCzrSj,Kiruhura Village,qZNwLmlW4D3,Kiruhura,6,01-01-00
Remera Village,mBLNBJ4ETn3,Remera Village,qZNwLmlW4D3,Remera,6,01-01-00
Rukindo Village,VXLEYNktbRa,Rukindo Village,qZNwLmlW4D3,Rukindo,6,01-01-00
Taba Village,tzWh0EIYWiO,Taba Village,qZNwLmlW4D3,Taba,6,01-01-00
Tetero Village,fhbTuSIBhhq,Tetero Village,qZNwLmlW4D3,Tetero,6,01-01-00
Kibenga Cell,ZAkrBJDfivP,Kibenga Cell,qBSeti7Pa1B,Kibenga,5,01-01-00
Gahwiji I Village,IShWFfVVzuJ,Gahwiji I Village,ZAkrBJDfivP,Gahwiji I,6,01-01-00
Gahwiji II Village,bcnwpfyEZeb,Gahwiji II Village,ZAkrBJDfivP,Gahwiji II,6,01-01-00
Kindonyi Village,JiCtB6YRXM3,Kindonyi Village,ZAkrBJDfivP,Kindonyi,6,01-01-00
Murambi Village,L7n3WFn75ry,Murambi Village,ZAkrBJDfivP,Murambi,6,01-01-00
Ruhorobero Village,spSEEn65i4f,Ruhorobero Village,ZAkrBJDfivP,Ruhorobero,6,01-01-00
Rwakaramira Village,VOJleneStYc,Rwakaramira Village,ZAkrBJDfivP,Rwakaramira,6,01-01-00
Rwarusaku Village,cuepqK4q7yJ,Rwarusaku Village,ZAkrBJDfivP,Rwarusaku,6,01-01-00
Kibirizi Cell,l1YMxmtDnbG,Kibirizi Cell,qBSeti7Pa1B,Kibirizi,5,01-01-00
Gacyamo Village,FLnOiH2USGo,Gacyamo Village,l1YMxmtDnbG,Gacyamo,6,01-01-00
Gahinga Village,q3MZ2q0HwCP,Gahinga Village,l1YMxmtDnbG,Gahinga,6,01-01-00
Gisenyi Village,vMxZ5Iw6fdv,Gisenyi Village,l1YMxmtDnbG,Gisenyi,6,01-01-00
Gitera Village,bI2ipkJSuuu,Gitera Village,l1YMxmtDnbG,Gitera,6,01-01-00
Kibirizi Village,AjbqVw6uXkK,Kibirizi Village,l1YMxmtDnbG,Kibirizi,6,01-01-00
Rugazi Village,cqH7U6OQk7r,Rugazi Village,l1YMxmtDnbG,Rugazi,6,01-01-00
Rwakibirizi Village,R6zvDWTH9hT,Rwakibirizi Village,l1YMxmtDnbG,Rwakibirizi,6,01-01-00
Mbyo Cell,P0IgDMZTkz3,Mbyo Cell,qBSeti7Pa1B,Mbyo,5,01-01-00
Cyaruhiririra Village,f9EEy3KeUkj,Cyaruhiririra Village,P0IgDMZTkz3,Cyaruhiririra,6,01-01-00
Kabyo Village,j6H057zMUiN,Kabyo Village,P0IgDMZTkz3,Kabyo,6,01-01-00
Rugarama Village,cLWd0ZTTcvZ,Rugarama Village,P0IgDMZTkz3,Rugarama,6,01-01-00
Rwimikoni I Village,RHNAXYSsZeK,Rwimikoni I Village,P0IgDMZTkz3,Rwimikoni I,6,01-01-00
Rwimikoni II Village,t4JQe0Sr8U3,Rwimikoni II Village,P0IgDMZTkz3,Rwimikoni II,6,01-01-00
Musenyi Sector,zfTbcEhxN3v,Musenyi Sector,kmqrhxfZRdS,Musenyi,4,01-01-00
Gicaca Cell,qzojXhqAoSg,Gicaca Cell,zfTbcEhxN3v,Gicaca,5,01-01-00
Bidudu Village,e5MXdl36eN0,Bidudu Village,qzojXhqAoSg,Bidudu,6,01-01-00
Cyanika Village,UOd2YL40qY3,Cyanika Village,qzojXhqAoSg,Cyanika,6,01-01-00
Cyarubazi Village,qVpt7p4bncN,Cyarubazi Village,qzojXhqAoSg,Cyarubazi,6,01-01-00
Gatare Village,yXEFrmN3StC,Gatare Village,qzojXhqAoSg,Gatare,6,01-01-00
Gihari Village,CbpvhmrkpIn,Gihari Village,qzojXhqAoSg,Gihari,6,01-01-00
Kagusa Village,aaMuoVJ9qUV,Kagusa Village,qzojXhqAoSg,Kagusa,6,01-01-00
Kamahango Village,Vim88a54TuM,Kamahango Village,qzojXhqAoSg,Kamahango,6,01-01-00
Kavumu Village,iHlqYNeLWPw,Kavumu Village,qzojXhqAoSg,Kavumu,6,01-01-00
Kidudu Village,dliKYcH9JvE,Kidudu Village,qzojXhqAoSg,Kidudu,6,01-01-00
Migina Village,zMAARdGU5rl,Migina Village,qzojXhqAoSg,Migina,6,01-01-00
Ngarama Village,ewatL6tSU4Z,Ngarama Village,qzojXhqAoSg,Ngarama,6,01-01-00
Remera Village,mBLNBJ4ETn3,Remera Village,qzojXhqAoSg,Remera,6,01-01-00
Rusagara Village,ktLmW7rkl2v,Rusagara Village,qzojXhqAoSg,Rusagara,6,01-01-00
Musenyi Cell,iiV9z4slGpx,Musenyi Cell,zfTbcEhxN3v,Musenyi,5,01-01-00
Bidudu Village,e5MXdl36eN0,Bidudu Village,iiV9z4slGpx,Bidudu,6,01-01-00
Bishinge Village,sL0NW1jiABI,Bishinge Village,iiV9z4slGpx,Bishinge,6,01-01-00
Bizenga Village,HjFk9EhBqBH,Bizenga Village,iiV9z4slGpx,Bizenga,6,01-01-00
Cyeru Village,O4MRJrfl5l5,Cyeru Village,iiV9z4slGpx,Cyeru,6,01-01-00
Gakomeye Village,gKFngKoRpIG,Gakomeye Village,iiV9z4slGpx,Gakomeye,6,01-01-00
Gakurazo Village,A1GmRH3W7BJ,Gakurazo Village,iiV9z4slGpx,Gakurazo,6,01-01-00
Kigarama Village,HhTKUqAiM3Q,Kigarama Village,iiV9z4slGpx,Kigarama,6,01-01-00
Kijuri Village,B8iTTVDA7uu,Kijuri Village,iiV9z4slGpx,Kijuri,6,01-01-00
Kiringa Village,BD10T3yYlqJ,Kiringa Village,iiV9z4slGpx,Kiringa,6,01-01-00
Muhanga Village,LJKa2IAEOs0,Muhanga Village,iiV9z4slGpx,Muhanga,6,01-01-00
Nunga Village,iNOJ5d3OZTg,Nunga Village,iiV9z4slGpx,Nunga,6,01-01-00
Nyagasagara Village,Lv3PlAbNxzV,Nyagasagara Village,iiV9z4slGpx,Nyagasagara,6,01-01-00
Rugando Village,GGJeEnmk5TS,Rugando Village,iiV9z4slGpx,Rugando,6,01-01-00
Rugeyo Village,qjdlG44hJZX,Rugeyo Village,iiV9z4slGpx,Rugeyo,6,01-01-00
